087875123PUR09279600008372table5  00102455000                                       
087875124PUR09199600008377dresser200104359505                                       
087875125PUR09029600008225vase2   00100991510                                       
087875126PUR09199600008261desk1   00201590505                                       
087875127PUR09309600008355vase2   00100991505                                       
087875128PUR09239600008552sofa1   00103450000                                       
087875129PUR09269600007953table4  00101450000                                       
087875130PUR09159600008474case1   00201324505                                       
087875131PUR09259600007830lamp1   00203241510                                       
087875132PUR09219600007888bed1    00304159005                                       
087875133PUR09269600008398lamp1   00203241505                                       
087875134PUR09249600008247case3   00203845000                                       
087875135PUR09159600007872table2  00302459005                                       
087875136PUR09209600008300table1  00101499500                                       
087875137PUR09099600007979table3  00304059510                                       
087875138PUR09059600008016case3   00103845005                                       
087875139PUR09149600008675bed4    00105179000                                       
087875140PUR09269600007632desk2   00303455000                                       
087875141PUR09029600008319chair1  00300459510                                       
087875142PUR09049600008213desk2   00303455000                                       
087875143PUR09239600008464vase2   00200991500                                       
087875144PUR09209600007718table4  00301450000                                       
087875145RET09069600008213           103650  087875142Damaged in shipment           
087875146PUR09109600008413chair1  00300459505                                       
087875147PUR09269600008131sofa5   00305050010                                       
087875148PUR09209600007658table4  00201450000                                       
087875149PUR09199600008611frame2  00302248500                                       
087875150PUR09189600008094chair2  00200499005                                       
087875151PUR09029600007714chair2  00100499000                                       
087875152PUR09039600008118case1   00301324500                                       
087875153PUR09139600008092table4  00201450005                                       
087875154PUR09149600008622sofa6   00103255010                                       
087875155PUR09239600008322table4  00301450000                                       
087875156PUR09079600008251chair2  00200499010                                       
087875157PUR09149600008537chair1  00300459505                                       
087875158PUR09269600008070table1  00301499500                                       
087875159PUR09269600008406lamp1   00203241505                                       
087875160PUR09209600008315frame1  00101905505                                       
087875161PUR09289600008590case2   00209321500                                       
087875162PUR09039600008615dresser100203450000                                       
087875163PUR09189600008415case1   00301324500                                       
087875164PUR09149600007913frame1  00201905510                                       
087875165PUR09149600008257bed4    00205179000                                       
087875166PUR09159600007771chair2  00200499010                                       
087875167PUR09279600007604dresser400108459010                                       
087875168PUR09119600008648bed3    00308250010                                       
087875169PUR09089600008002chair3  00301450010                                       
087875170PUR09149600008398table5  00302455005                                       
087875171PUR09169600008140sofa3   00305150010                                       
087875172PUR09199600008657table1  00201499505                                       
087875173PUR09209600007697lamp3   00200429510                                       
087875174PUR09089600007962sofa4   00304610000                                       
087875175PUR09179600008061dresser400308459000                                       
087875176PUR09159600007677lamp1   00103241500                                       
087875177PUR09039600008689table3  00204059505                                       
087875178PUR09179600007778case1   00101324500                                       
087875179PUR09259600008078chair1  00100459510                                       
087875180PUR09209600008651dresser100203450000                                       
087875181PUR09149600007793case1   00301324505                                       
087875182PUR09269600008134table3  00304059510                                       
087875183PUR09139600008439dresser100203450000                                       
087875184RET09159600008439           069000  087875183Decor clash                   
087875185PUR09209600008624bed2    00205959010                                       
087875186PUR09289600008078chair2  00300499000                                       
087875187PUR09229600008071sofa5   00205050000                                       
087875188PUR09219600008049table2  00102459000                                       
087875189PUR09269600008443lamp3   00200429500                                       
087875190PUR09219600008018sofa5   00305050010                                       
087875191PUR09049600008114desk1   00201590500                                       
087875192PUR09299600008002desk1   00201590500                                       
087875193PUR09219600008433vase2   00200991500                                       
087875194PUR09309600008219bed2    00305959010                                       
087875195PUR09189600007781bed4    00105179000                                       
087875196PUR09109600008478sofa5   00105050010                                       
087875197PUR09279600008221chair3  00101450010                                       
087875198PUR09149600008341table5  00302455005                                       
087875199PUR09119600008068table1  00101499505                                       
087875200PUR09269600008156frame2  00302248510                                       
087875201PUR09229600008625lamp3   00300429500                                       
087875202PUR09189600007638frame1  00101905505                                       
087875203PUR09069600008124vase1   00300739505                                       
087875204PUR09169600008066table2  00302459005                                       
087875205PUR09179600007665table2  00102459000                                       
087875206PUR09049600008464vase3   00101245910                                       
087875207PUR09289600008322lamp4   00200499510                                       
087875208PUR09139600008559dresser200104359500                                       
087875209PUR09189600008034lamp2   00202341505                                       
087875210PUR09299600008537bed6    00210550010                                       
087875211PUR09299600008194sofa2   00304950010                                       
087875212PUR09059600008000sofa5   00105050005                                       
087875213PUR09199600007812desk2   00203455010                                       
087875214PUR09049600007731dresser300104152510                                       
087875215PUR09209600008356bed4    00105179005                                       
087875216PUR09229600008265lamp4   00100499505                                       
087875217PUR09229600008729lamp4   00100499510                                       
087875218PUR09239600008464chair1  00200459510                                       
087875219PUR09269600007993dresser300104152500                                       
087875220PUR09229600008019table2  00202459000                                       
087875221RET09229600008356           049200  087875215Wrong color                   
087875222PUR09059600008010chair3  00301450010                                       
087875223PUR09139600008630dresser100303450005                                       
